Username,Comment,vader_sentiment
@shenukaranawaka7051,"Almost all the HTML content in the simplest form possible. Dude, you are just insane.",0
@user-dv5zu5ph1v,I don't understand anything am i just dumb or something,0
@alien45735,i already lesrned half of the html but for some reason i quit coding for a year and now i don't want to learn all again i just wanted a quick revise to everything i learned and that video helped me a lot,0
@haha.1h,how to make the screb black becuse whit it hurts my eys,0
@1rbd,actually insane video,0
@joshuaseabrook9835,"You made this with no dislikes, that’s a feat in it of itself",0
@tuterruyi5178,Damn when cover says 5min i thought it would direct install to our mind,0
@stickperson286,"That was very thorough, that was very fast, I am very scared.",0
@Online28_JStr78,Just your first 2 mins of your vid taught me more then my stupid IT teacher,0
@Thecarameltype,"roses are red,
cactuses are prickly,
holy shit-
that was escalating quickly-",0
@mcchikin2751,"this is really well made but a lot of information at once, maybe u can find a way to dumb it down even further for the sake of time",0
@obsessivesec,WTF I LEARNED A LOT IN JUST 5 MINS DAMN,0
@Drag0n_k,damn in 5 mins?,0
@pavanvtayde,breaking bad reference!?,0
@speedymon4412,"I was stressing for my exman 5 minutes ago, sike not anymore bches dayum I got this",0
@kelvinmarte9942,"I know there is a lot of guys that will get it but the one thing I came here to learn went by so fast I didn't learn anything, well, just look at another channel",0
@jkovert,"Frankly, this should terrify you.",0
@ilyesmilyesm2576,"make a video about bootcamp, I mean bootstcamp, oh no I think it's bootstramp",0
@ibnearabi3640,Your ads are really out of context and even worse.,0
